ecf.crm_tz_vipcon_his_src,row_id
ecf.tb1010,indvdl_id
ecf.tb1011,corporation_id
ecf.tb1012,indvdl_id+end_tm
ecf.tb1013,corporation_id+end_tm
ecf.tb1111,corpgroup_id+end_tm
ecf.tb1211,pty_id+pty_tp+rating_type+internal_flag+eval_instin
ecf.tb1221,pty_id+pty_tp+name_list_type
ecf.tb1231,pty_id+pty_tp+crdt_lmt_tp
ecf.tb1311,pty_id+pty_tp+finance_statement_type+finance_detail
ecf.tb1410,extrnl_rfrnce+extrnl_systm_cd+end_tm
ecf.tb1411,extrnl_rfrnce+extrnl_systm_cd+end_tm
ecf.tb1412,src_systm_cd+src_cstm_rfrnce+src_arr_no+end_tm
ecf.tb1420,pty_id+pty_tp+pty_nm_tp+end_tm
ecf.tb1421,pty_nm_id+seq_no
ecf.tb1430,rgstrtn_id+seq_no+pty_id+pty_tp+rgstrtn_tp+end_tm
ecf.tb1431,rgstrtn_id+seq_no
ecf.tb1441,pty_id+pty_tp+cert_type+end_tm
ecf.tb1461,pty_id+pty_tp+label_type+end_tm
ecf.tb1471,pty_id+pty_tp+stock_type
ecf.tb1490,pty_id+pty_tp+insight_tp+end_tm
ecf.tb1491,corp_bond_id+seq_no
ecf.tb1510,pty_id+pty_tp+fin_indc
ecf.tb1511,pty_id+pty_tp+name_cn+certificate_code+end_tm
ecf.tb1521,pty_id+pty_tp+name_cn+invested_name
ecf.tb1541,pty_id+pty_tp+name_cn
ecf.tb1550,pty_id+pty_tp+rating_tp+rtng_agncy+end_tm
ecf.tb1551,pty_id+pty_tp+rating_tp+rtng_agncy+end_tm
ecf.tb1560,pty_id+pty_tp+clsfctn_tp+clsfctn_cd+end_tm
ecf.tb1570,pty_id+pty_tp+nm_lst_tp+end_tm
ecf.tb1571,pty_id+pty_tp+relt_tp
ecf.tb1581,pty_id+pty_tp+scs_iscredit+ncms_iscredit+rcs_iscredit+end_tm
ecf.tb1610,status_id+seq_no
ecf.tb1911,pty_id+pty_tp+end_tm
ecf.tb1921,pty_id+pty_tp+end_tm
ecf.tb2010,tlphn_id+seq_no
ecf.tb2011,telephone_id+seq_no
ecf.tb2020,address_id+seq_no
ecf.tb2021,address_id+seq_no
ecf.tb2030,web_cntct_id+seq_no
ecf.tb2031,webcontact_id+seq_no
ecf.tb2040,excpt_cntct_id+seq_no
ecf.tb2041,org_linkman_id+seq_no
ecf.tb2060,pty_no
ecf.tb4011,evnt_no+systm_cd+end_tm
ecf.tb5030,vchcl_frame_no+ri_no+systm_cd+end_tm
ecf.tb6110,pty_id+pty_tp+cntxt_role_id+cntxt_role_tp+pty_to_pty_rltn_tp+end_tm
ecf.tb6111,cntxt_role_id+cntxt_role_tp+roleplayer+roleplayer_type+end_tm
ecf.tb6130,pty_id+pty_tp+cntct_id+cntct_id_tp+end_tm
ecf.tb6131,cntct_id+cntct_id_tp+pty_id+pty_tp+end_tm
ecf.tb6140,rltn_tp+pty_id+pty_tp+ri_id+ri_tp+end_tm
ecf.tb6150,role_plyr_id+role_plyr_tp+end_tm
ecf.tb6151,role_plyr_id+role_plyr_tp+pty_id+pty_tp+evnt_id+evnt_tp
ecf.tb9010,src_systm+src_tp+src_cd+cd_str_vlu
ecf.tb9011,src_systm+src_tp+src_cd+cd_str_vlu
ecf.tb9020,code_string_id
ecf.tb9021,code_string_id
